frame_count,mean_iou,median_iou,success_auc,mean_normalized_center_error,median_normalized_center_error,update_success_rate,longest_low_iou_streak_frames,first_failure_frame,time_to_first_failure_sec,success_rate_iou_025,success_rate_iou_050,success_rate_iou_075,video_stem,tracker_name,variant_name,ratio,target_bitrate_bps,actual_bitrate_bps
274,0.6417861174228292,0.5750448815421592,0.6494429504417979,0.05087204269670781,0.06018184558060438,1.0,0,-1,,1.0,0.8029197080291971,0.291970802919708,baseline,csrt,r0p3,0.3,9104642,9080371
274,0.743218070474997,0.714039370688987,0.7570111409911642,0.04474027175382601,0.044648301919323244,1.0,0,-1,,1.0,0.9124087591240876,0.4708029197080292,baseline,csrt,r0p15,0.15,4552321,4568505
274,0.611816424561952,0.5317059761394249,0.617556665386093,0.05279093181403639,0.06917274845428632,1.0,0,-1,,1.0,0.5985401459854015,0.2956204379562044,baseline,csrt,r0p08,0.08,2427904,2462619
274,0.9222634759835944,0.9353561192276647,0.9466000768344218,0.008814125601455758,0.007662748925030807,1.0,0,-1,,1.0,1.0,0.9890510948905109,baseline,csrt,r0p04,0.04,1213952,1243804
274,0.7710905510356894,0.7537597185176778,0.7842873607376104,0.03117722679307185,0.033070211655695375,1.0,0,-1,,1.0,0.9306569343065694,0.5036496350364964,baseline,csrt,r0p02,0.02,606976,634949
274,0.9945600885762007,1.0,1.0,0.0014265747329439914,0.0,1.0,0,-1,,1.0,1.0,1.0,baseline,kcf,r0p3,0.3,9104642,9080371
274,0.9945582881061661,0.9935275080906149,1.0,0.0020367444963873167,0.002894525748872607,1.0,0,-1,,1.0,1.0,1.0,baseline,kcf,r0p15,0.15,4552321,4568505
274,0.9948269683285984,0.9935275080906149,1.0,0.001770429353860898,0.002894525748872607,1.0,0,-1,,1.0,1.0,1.0,baseline,kcf,r0p08,0.08,2427904,2462619
274,0.021897810218978103,0.0,0.0218978102189781,0.9781021897810219,1.0,0.021897810218978103,268,6,0.25025,0.021897810218978103,0.021897810218978103,0.021897810218978103,baseline,kcf,r0p04,0.04,1213952,1243804
274,0.10537597033947399,0.0,0.10583941605839416,0.8942662235674771,1.0,0.10583941605839416,245,29,1.2095416666666665,0.10583941605839416,0.10583941605839416,0.10583941605839416,baseline,kcf,r0p02,0.02,606976,634949
415,0.9005887580640892,0.9232997139062401,0.9244134432466706,0.007625383096344447,0.006530252779710924,1.0,0,-1,,1.0,1.0,1.0,butterfly,csrt,r0p3,0.3,7091063,7114764
415,0.8163410884365441,0.8199863527283043,0.8342422320862397,0.014653370719206143,0.012476030417936075,1.0,0,-1,,1.0,1.0,0.8216867469879519,butterfly,csrt,r0p15,0.15,3545531,3568010
415,0.8306843432413695,0.850546945140103,0.8495878249841471,0.015855579004234392,0.010739057628254941,1.0,0,-1,,1.0,1.0,0.8530120481927711,butterfly,csrt,r0p08,0.08,1890950,1911779
415,0.79597556716534,0.7886102027468934,0.8120481927710843,0.012836469676748338,0.010220121606656054,1.0,0,-1,,1.0,1.0,0.6939759036144578,butterfly,csrt,r0p04,0.04,945475,947761
415,0.8221259981369288,0.8405766371967541,0.8398224476854788,0.021202989427912676,0.01219377294516701,1.0,0,-1,,1.0,1.0,0.8072289156626506,butterfly,csrt,r0p02,0.02,472737,440131
415,0.9867567290904999,0.9951632406287787,0.9903614457831326,0.010693456633395888,0.0014444409648616814,0.9903614457831326,4,-1,,0.9903614457831326,0.9903614457831326,0.9903614457831326,butterfly,kcf,r0p3,0.3,7091063,7114764
415,0.9857615654139615,0.9951632406287787,0.9903614457831326,0.010920888792327268,0.0014444409648616814,0.9903614457831326,4,-1,,0.9903614457831326,0.9903614457831326,0.9903614457831326,butterfly,kcf,r0p15,0.15,3545531,3568010
415,0.9846081585179062,0.9964093357271095,0.9903614457831326,0.011527411705536337,0.0014444409648616814,0.9903614457831326,4,-1,,0.9903614457831326,0.9903614457831326,0.9903614457831326,butterfly,kcf,r0p08,0.08,1890950,1911779
415,0.9834538509563214,0.9915985541697874,0.9903614457831326,0.011546998794898086,0.002042748002554669,0.9903614457831326,4,-1,,0.9903614457831326,0.9903614457831326,0.9903614457831326,butterfly,kcf,r0p04,0.04,945475,947761
415,0.9650417896795461,0.9868109021213007,0.9809765377298668,0.016718732040778214,0.003229868186916105,0.9903614457831326,4,-1,,0.9903614457831326,0.9903614457831326,0.9903614457831326,butterfly,kcf,r0p02,0.02,472737,440131
461,0.9691689770773195,0.9658044930176077,0.9937207443772119,0.0026361322279508355,0.003034262135014818,1.0,0,-1,,1.0,1.0,1.0,car,csrt,r0p3,0.3,7743084,7758826
461,0.9237816491095733,0.9242988334574336,0.9451992236556684,0.005790661222222451,0.005655384040744085,1.0,0,-1,,1.0,1.0,1.0,car,csrt,r0p15,0.15,3871542,3895486
461,0.9543611060774964,0.9601986710517484,0.9812764014156867,0.0061822903896290304,0.006111608642714248,1.0,0,-1,,1.0,1.0,1.0,car,csrt,r0p08,0.08,2064822,2117673
461,0.9082110754771704,0.8907845579078456,0.929101495604521,0.00507810195958683,0.004995851323020691,1.0,0,-1,,1.0,1.0,0.9956616052060737,car,csrt,r0p04,0.04,1032411,1077898
461,0.821259954337345,0.8188214599824098,0.8407352437492864,0.007976815184155071,0.007771066632120328,1.0,0,-1,,1.0,1.0,0.9436008676789588,car,csrt,r0p02,0.02,516205,600078
461,0.9901447330618788,1.0,0.9972599611827835,0.0021323478849070905,0.0,1.0,0,-1,,1.0,1.0,1.0,car,kcf,r0p3,0.3,7743084,7758826
461,0.9795834168962805,0.9864406779661017,0.9964607831944287,0.005227127747881523,0.006239376512786677,1.0,0,-1,,1.0,1.0,1.0,car,kcf,r0p15,0.15,3871542,3895486
461,0.9817515988411933,1.0,0.9938349126612627,0.003963861714314723,0.0,1.0,0,-1,,1.0,1.0,1.0,car,kcf,r0p08,0.08,2064822,2117673
461,0.9878145120458703,1.0,0.9984016440232903,0.0027904037501665035,0.0,1.0,0,-1,,1.0,1.0,1.0,car,kcf,r0p04,0.04,1032411,1077898
461,0.9677493595932646,0.9730639730639731,0.9860714693458158,0.010582790914635216,0.012478753025573355,1.0,0,-1,,1.0,1.0,1.0,car,kcf,r0p02,0.02,516205,600078
863,0.492978050531854,0.302073732718894,0.49259010794657554,0.07464823059770105,0.09774284751921361,1.0,0,-1,,0.6998841251448435,0.41251448435689453,0.3638470451911935,ducks,csrt,r0p3,0.3,25938055,25708291
863,0.48112977929672923,0.417251872659176,0.4810026224309325,0.08133390923867156,0.09747488195238707,1.0,9,401,13.380033333333333,0.7682502896871379,0.39165701042873696,0.20973348783314022,ducks,csrt,r0p15,0.15,12969027,13030742
863,0.423710512682463,0.26472534745201853,0.4197109227297677,0.0996925837097732,0.12979054970455856,1.0,63,400,13.346666666666668,0.5307068366164542,0.39165701042873696,0.26187717265353416,ducks,csrt,r0p08,0.08,6916814,6942154
