tracker_name,ratio,mean_iou,success_auc,success_rate_iou_050,mean_normalized_center_error,update_success_rate
csrt,0.3,0.77106957261018,0.7865998499779541,0.8470224265595132,0.02825079420980965,0.9996538594669436
csrt,0.15,0.7930382241618997,0.8081657824074427,0.9086390307381114,0.026282329648533123,0.9996538594669436
csrt,0.08,0.6885099162806091,0.6998115878797905,0.7482258439409873,0.03763549900415452,0.9996538594669436
csrt,0.04,0.7451281847180634,0.7590820624981192,0.84104227870783,0.034710005023273593,0.9996538594669436
csrt,0.02,0.6789843403627465,0.6895517581767532,0.7573612200722855,0.08381684728649264,0.9754240221529942
kcf,0.3,0.8245423704060078,0.8294864331422941,0.8309550581883887,0.17073394766441508,0.8309550581883887
kcf,0.15,0.8164998636561369,0.8243454238372461,0.8305688086712005,0.17330985692827225,0.8305688086712005
kcf,0.08,0.7919344433430648,0.8004815349330161,0.8049034708151782,0.19092928009668889,0.8156338273399272
kcf,0.04,0.6532898623957091,0.6633843881732635,0.6828547187782603,0.3248234053927905,0.6828547187782603
kcf,0.02,0.640815695394874,0.6527054447846355,0.6991793421882593,0.31300826564799766,0.7095627921449934
