video_stem,tracker_name,mean_iou,success_auc,success_rate_iou_050,mean_normalized_center_error,update_success_rate,mean_time_to_first_failure_sec
baseline,csrt,0.7380349278958124,0.7509796388782174,0.8489051094890512,0.03767891973181956,1.0,
baseline,kcf,0.6222438251138834,0.6255474452554745,0.6255474452554745,0.37552043238633825,0.6255474452554745,0.7298958333333332
butterfly,csrt,0.8331431510088543,0.852022828154724,1.0,0.0144347583848892,1.0,
butterfly,kcf,0.981124418731647,0.9884844641724794,0.9903614457831326,0.012281497593387158,0.9903614457831326,
car,csrt,0.915356552415781,0.938006621760475,1.0,0.005532800196708844,1.0,
car,kcf,0.9814087240876976,0.9944057540815162,1.0,0.0049393064023810105,1.0,
ducks,csrt,0.5460896353851866,0.5487223272549857,0.5230590961761298,0.0738895005897973,1.0,13.36335
ducks,kcf,0.2827561600768192,0.287503811672867,0.2929316338354577,0.709947688167343,0.30173812282734647,3.476806666666667
runner_dog,csrt,0.7718083123668975,0.7895392687325791,0.9059190031152647,0.06326010289280644,0.9532710280373833,8.341666666666667
runner_dog,kcf,0.8169169007388841,0.8291195277914412,0.8903426791277258,0.11345398431415984,0.9096573208722741,8.341666666666667
sailboats,csrt,0.484638265144511,0.48532493489189027,0.518066743383199,0.053378444752094675,1.0,18.977291666666666
sailboats,kcf,0.9716768380366834,0.9877778450729817,1.0,0.008051456625517272,1.0,
traffic,csrt,0.6157486262318537,0.6219370502037631,0.6952224052718287,0.08617895805924511,1.0,19.6
traffic,kcf,0.9506908707185826,0.9598543310500304,1.0,0.012867430585685163,1.0,
walk_into_sun,csrt,0.7943253567472786,0.8111615245009073,0.916206896551724,0.022578539708103914,1.0,
walk_into_sun,kcf,0.13752565840604272,0.1379310344827586,0.13793103448275862,0.8621882425894617,0.13793103448275862,2.469133333333333
zipline,csrt,0.9189696014441229,0.9400856793145655,0.9767441860465116,0.022319830994609276,1.0,10.877533333333334
zipline,kcf,0.9644046274421869,0.9761015911872706,0.9901162790697674,0.01179852165002258,1.0,
